interface,source_mac,dest_mac
Eth4,70:5a:0f:44:3d:77,9c:7b:ef:aa:2c:6b
Eth7,70:5a:0f:46:30:50,70:5a:0d:4a:cd:c7
Eth2,9c:7b:ef:aa:2c:6b,70:5a:0f:44:3d:77
Eth0,70:5a:0d:4a:cd:c7,70:5a:0f:46:30:50
Eth6,9c:7b:ef:aa:2b:b7,ec:b1:d7:5b:a1:b4
Eth5,70:5a:0f:44:3d:77,9c:7b:ef:aa:2b:b7
Eth0-7,9c:7b:ef:aa:2c:6b,ff:ff:ff:ff:ff:ff
Eth0,9c:7b:ef:aa:2c:6b,70:5a:0f:46:30:50
Eth7,9c:7b:ef:aa:2c:6b,70:5a:0d:4a:cd:c7
Eth7,ec:b1:d7:5b:a1:b4,70:5a:0d:4a:cd:c7
Eth1,9c:7b:ef:aa:2b:b7,dc:4a:3e:7e:8f:2b
Eth7,ec:b1:d7:5b:a1:b4,70:5a:0d:4a:cd:c7
Eth2,70:5a:0f:46:30:50,70:5a:0f:44:3d:77
Eth4,9c:7b:ef:aa:2b:b7,9c:7b:ef:aa:2c:6b
Eth5,70:5a:0f:46:30:50,9c:7b:ef:aa:2b:b7
Eth4,dc:4a:3e:7e:90:12,9c:7b:ef:aa:2c:6b
Eth3,9c:7b:ef:aa:2b:b7,dc:4a:3e:7e:90:12
Eth7,9c:7b:ef:aa:2b:b7,70:5a:0d:4a:cd:c7
Eth6,70:5a:0f:44:3d:77,ec:b1:d7:5b:a1:b4
Eth0,dc:4a:3e:7e:8f:2b,70:5a:0f:46:30:50
Eth4,70:5a:0f:44:3d:77,9c:7b:ef:aa:2c:6b
Eth6,70:5a:0f:46:30:50,ec:b1:d7:5b:a1:b4
Eth1,70:5a:0d:4a:cd:c7,dc:4a:3e:7e:8f:2b
Eth5,9c:7b:ef:aa:2c:6b,9c:7b:ef:aa:2b:b7
Eth1,70:5a:0f:46:30:50,dc:4a:3e:7e:8f:2b
Eth1,9c:7b:ef:aa:2c:6b,dc:4a:3e:7e:8f:2b
Eth3,9c:7b:ef:aa:2c:6b,dc:4a:3e:7e:90:12
Eth3,70:5a:0f:44:3d:77,dc:4a:3e:7e:90:12
Eth1,70:5a:0d:4a:cd:c7,dc:4a:3e:7e:8f:2b
Eth2,70:5a:0d:4a:cd:c7,70:5a:0f:44:3d:77
Eth0,9c:7b:ef:aa:2c:6b,70:5a:0f:46:30:50
Eth6,70:5a:0f:44:3d:77,ec:b1:d7:5b:a1:b4
Eth2,9c:7b:ef:aa:2b:b7,70:5a:0f:44:3d:77
Eth6,9c:7b:ef:aa:2b:b7,ec:b1:d7:5b:a1:b4
Eth0,70:5a:0f:44:3d:77,70:5a:0f:46:30:50
Eth6,9c:7b:ef:aa:2b:b7,ec:b1:d7:5b:a1:b4
Eth6,70:5a:0f:46:30:50,ec:b1:d7:5b:a1:b4
Eth0,9c:7b:ef:aa:2b:b7,70:5a:0f:46:30:50
Eth0,ec:b1:d7:5b:a1:b4,70:5a:0f:46:30:50
Eth5,ec:b1:d7:5b:a1:b4,9c:7b:ef:aa:2b:b7
Eth0,70:5a:0f:44:3d:77,70:5a:0f:46:30:50
Eth5,dc:4a:3e:7e:90:12,9c:7b:ef:aa:2b:b7
Eth6,70:5a:0f:46:30:50,ec:b1:d7:5b:a1:b4
Eth6,70:5a:0d:4a:cd:c7,ec:b1:d7:5b:a1:b4
Eth1,9c:7b:ef:aa:2c:6b,dc:4a:3e:7e:8f:2b
Eth6,70:5a:0f:44:3d:77,ec:b1:d7:5b:a1:b4
Eth3,70:5a:0f:46:30:50,dc:4a:3e:7e:90:12
Eth4,70:5a:0d:4a:cd:c7,9c:7b:ef:aa:2c:6b
Eth0-7,dc:4a:3e:7e:90:12,ff:ff:ff:ff:ff:ff
Eth2,ec:b1:d7:5b:a1:b4,70:5a:0f:44:3d:77
